CLIENT,ALIGNMENT,TERRITORY,Old Territory,OUTLET,,,,,,,,,,,,,
299,M,00000000,00000000,A0A 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0B 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0C 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0E 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0G 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0H 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0J 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0K 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0L 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0M 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0N 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0P 000,,,,,,,,,,,,,
299,M,00000000,00000000,A0R 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1A 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1B 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1C 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1E 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1G 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1H 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1K 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1L 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1M 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1N 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1S 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1V 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1W 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1X 000,,,,,,,,,,,,,
299,M,00000000,00000000,A1Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,A2A 000,,,,,,,,,,,,,
299,M,00000000,00000000,A2B 000,,,,,,,,,,,,,
299,M,00000000,00000000,A2H 000,,,,,,,,,,,,,
299,M,00000000,00000000,A2N 000,,,,,,,,,,,,,
299,M,00000000,00000000,A2V 000,,,,,,,,,,,,,
299,M,00000000,00000000,A5A 000,,,,,,,,,,,,,
299,M,00000000,00000000,A8A 000,,,,,,,,,,,,,
299,M,00000000,00000000,B0A 000,,,,,,,,,,,,,
299,M,00000000,00000000,B0C 000,,,,,,,,,,,,,
299,M,00000000,00000000,B0E 000,,,,,,,,,,,,,
299,M,00000000,00000000,B0H 000,,,,,,,,,,,,,
299,M,00000000,00000000,B0J 000,,,,,,,,,,,,,
299,M,00000000,00000000,B0K 000,,,,,,,,,,,,,
299,M,00000000,00000000,B0L 000,,,,,,,,,,,,,
299,M,00000000,00000000,B0M 000,,,,,,,,,,,,,
299,M,00000000,00000000,B0N 000,,,,,,,,,,,,,
